,Date,Unix,Ticker,DE_Ratio,Price,StockPChange,SP500,SPPChange
50,2004-06-03 01:20:38,1086250838.0,AAPL,0.0,28.92,38.7050359712,1116.640015,4.38619875033
51,2004-08-10 02:02:44,1092128564.0,AAPL,0.0,30.3,45.3237410072,1079.040039,0.871262410039
52,2004-10-12 05:40:57,1097584857.0,AAPL,0.0,38.59,85.0839328537,1121.839966,4.87230269724
53,2004-12-04 14:16:51,1102198611.0,AAPL,0.0,62.68,200.623501199,1191.369995,11.3721373161
54,2005-01-26 15:16:47,1106781407.0,AAPL,0.0,71.94,245.035971223,1174.069946,9.75488705726
55,2005-02-04 03:07:08,1107515228.0,AAPL,0.0,77.81,273.189448441,1203.030029,12.4621453851
56,2005-03-01 10:36:03,1109702163.0,AAPL,0.0,44.86,115.1558753,1210.410034,13.1520460321
57,2005-12-17 11:55:53,1134849353.0,AAPL,0.0,71.11,241.055155875,1272.73999,18.9788004809
58,2006-01-25 09:43:52,1138211032.0,AAPL,0.0,76.04,264.700239808,1264.680054,18.225338246
59,2013-08-11 02:30:32,1376213432.0,AAPL,13.75,454.45,2079.61630695,1697.47998,58.6845180064
60,2013-06-19 09:57:38,1371661058.0,ABBV,512.61,43.54,0.0,1628.930054,0.0
