Symbol,Quantity,Price,ActionNameUS,TradeDate,SettledDate,Interest,Amount,Commission,Fees,CUSIP,Description,TradeNumber,RecordType
AGNC,0.0000,0.0,Dividend,1/9/2017,,0.00,1.26,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 7 SHARES OF AGNC @ .18000,,Financial
AGNC,0.0000,0.0,Dividend,12/8/2016,,0.00,1.26,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 7 SHARES OF AGNC @ .18000,,Financial
AGNC,0.0000,0.0,Dividend,11/8/2016,,0.00,1.26,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 7 SHARES OF AGNC @ .18000,,Financial
RSO,0.0000,0.0,Dividend,10/28/2016,,0.00,1.68,0.0000,0.0000,76120W708,RESOURCE CAP CORP REIT DIVIDEND ON 4 SHARES OF RSO @ .42000,,Financial
IVR,0.0000,0.0,Dividend,10/26/2016,,0.00,2.00,0.0000,0.0000,46131B100,INVESCO MORTGAGE CAPITAL INC DIVIDEND ON 5 SHARES OF IVR @ .40000,,Financial
.AGNC#,0.0000,0.0,Dividend,10/7/2016,,0.00,1.26,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC## @ .18000,,Financial
.AGNC#,-7.0000,0.00,Stock Delivery,10/3/2016,10/3/2016,0.00,0.00,0.0000,0.0000,02503X105,Stock Delivered Out: 7 Shares of .AGNC#,09770002 ,Trade
AGNC,7.0000,0.00,Stock Receipt,10/3/2016,10/3/2016,0.00,0.00,0.0000,0.0000,00123Q104,Stock Received: 7 Shares of AGNC,09770001 ,Trade
AGNC,0.0000,0.0,Dividend,9/9/2016,,0.00,1.26,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .18000,,Financial
AGNC,0.0000,0.0,Dividend,8/8/2016,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
RSO,0.0000,0.0,Dividend,7/28/2016,,0.00,1.68,0.0000,0.0000,76120W708,RESOURCE CAP CORP REIT DIVIDEND ON 4 SHARES OF RSO @ .42000,,Financial
IVR,0.0000,0.0,Dividend,7/26/2016,,0.00,2.00,0.0000,0.0000,46131B100,INVESCO MORTGAGE CAPITAL INC DIVIDEND ON 5 SHARES OF IVR @ .40000,,Financial
AGNC,0.0000,0.0,Dividend,7/8/2016,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
AGNC,0.0000,0.0,Dividend,6/9/2016,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
AGNC,0.0000,0.0,Dividend,5/9/2016,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
RSO,0.0000,0.0,Dividend,4/28/2016,,0.00,1.68,0.0000,0.0000,76120W708,RESOURCE CAP CORP REIT DIVIDEND ON 4 SHARES OF RSO @ .42000,,Financial
IVR,0.0000,0.0,Dividend,4/26/2016,,0.00,2.00,0.0000,0.0000,46131B100,INVESCO MORTGAGE CAPITAL INC DIVIDEND ON 5 SHARES OF IVR @ .40000,,Financial
AGNC,0.0000,0.0,Dividend,4/8/2016,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
AGNC,0.0000,0.0,Dividend,3/8/2016,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
AGNC,0.0000,0.0,Dividend,2/8/2016,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
RSO,0.0000,0.0,Dividend,1/28/2016,,0.00,1.68,0.0000,0.0000,76120W708,RESOURCE CAP CORP REIT DIVIDEND ON 4 SHARES OF RSO @ .42000,,Financial
IVR,0.0000,0.0,Dividend,1/26/2016,,0.00,2.00,0.0000,0.0000,46131B100,INVESCO MORTGAGE CAPITAL INC DIVIDEND ON 5 SHARES OF IVR @ .40000,,Financial
AGNC,0.0000,0.0,Dividend,1/8/2016,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
AGNC,0.0000,0.0,Dividend,12/9/2015,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
AGNC,0.0000,0.0,Dividend,11/9/2015,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
RSO,0.0000,0.0,Dividend,10/28/2015,,0.00,2.56,0.0000,0.0000,76120W708,RESOURCE CAP CORP REIT DIVIDEND ON 4 SHARES OF RSO @ .64000,,Financial
IVR,0.0000,0.0,Dividend,10/27/2015,,0.00,2.00,0.0000,0.0000,46131B100,INVESCO MORTGAGE CAPITAL INC DIVIDEND ON 5 SHARES OF IVR @ .40000,,Financial
AGNC,0.0000,0.0,Dividend,10/9/2015,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
RSO,0.0000,0.0,Cash in Lieu of Dividend,9/10/2015,,0.00,6.45,0.0000,0.0000,76120W708,RESOURCE CAP CORP REIT Cash In Lieu Fractl Sh @ 12.918,,Financial
AGNC,0.0000,0.0,Dividend,9/8/2015,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
.RSO#,0.0000,0.0,Journal,9/1/2015,,0.00,-20.00,0.0000,0.0000,76120W302,RESOURCE CAPITAL CORP REIT Reorg Fee,,Financial
RSO,0.0000,0.00,Stock Receipt,9/1/2015,9/1/2015,0.00,0.00,0.0000,0.0000,76120W708,Stock Received: Shares of RSO,09440004 ,Trade
RSO,4.0000,0.00,Stock Receipt,9/1/2015,9/1/2015,0.00,0.00,0.0000,0.0000,76120W708,Stock Received: 4 Shares of RSO,09440003 ,Trade
.RSO#,-18.0000,0.00,Stock Delivery,9/1/2015,9/1/2015,0.00,0.00,0.0000,0.0000,76120W302,Stock Delivered Out: 18 Shares of .RSO#,09440001 ,Trade
AGNC,0.0000,0.0,Dividend,8/7/2015,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
RSO,0.0000,0.0,Dividend,7/28/2015,,0.00,2.88,0.0000,0.0000,76120W302,RESOURCE CAPITAL CORP DIVIDEND ON 18 SHARES OF RSO @ .16000,,Financial
IVR,0.0000,0.0,Dividend,7/28/2015,,0.00,2.25,0.0000,0.0000,46131B100,INVESCO MORTGAGE CAPITAL INC DIVIDEND ON 5 SHARES OF IVR @ .45000,,Financial
AGNC,0.0000,0.0,Dividend,7/8/2015,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
AGNC,0.0000,0.0,Dividend,6/5/2015,,0.00,1.40,0.0000,0.0000,02503X105,AMERICAN CAPITAL AGENCY REIT DIVIDEND ON 7 SHARES OF AGNC @ .20000,,Financial
